FISCAL_YR,Channel,total_net_sales,total_custs,FISCAL_QTR,FISCAL_MO,recency_net_sales_total,recency_cust_total,Recency,chan_rec_sales_pct,chan_rec_cust_pct,chan_rec_seg_sales,chan_rec__seg_custs,Customer_Type,Segment,chan_rec_sales,chan_rec__custs,sales_pct,cust_pct,d_p_cust
2018,R,25984910.8075265,162619,1,1,21519713.4644126,130615,1,0.828161913804972,0.803196428461619,19000552.6218028,115822,Existing_1,1,20806291.4656861,122288,0.9132119,0.9471248,164.049598710114
2018,R,25984910.8075265,162619,1,1,21519713.4644126,130615,1,0.828161913804972,0.803196428461619,1805738.84388331,6466,Existing__Omni,_Omni,20806291.4656861,122288,8.678812e-002,5.287518e-002,279.266755936175
2018,R,46923019.5253469,278165,1,2,38260216.1121431,216334,1,0.815382652249728,0.777718260744522,31563904.9585695,180878,Existing_1,1,36406500.720845,196631,0.8669854,0.9198855,174.503836611249
2018,R,46923019.5253469,278165,1,2,38260216.1121431,216334,1,0.815382652249728,0.777718260744522,4842595.76227556,15753,Existing__Omni,_Omni,36406500.720845,196631,0.1330146,8.011453e-002,307.407843729801
2018,R,42252886.1876336,234895,1,3,33499406.9152311,181266,1,0.792831210783314,0.771689478277528,28917595.7606732,158410,Existing_1,1,32478846.707363,169612,0.8903517,0.9339551,182.549054735643
2018,R,42252886.1876336,234895,1,3,33499406.9152311,181266,1,0.792831210783314,0.771689478277528,3561250.94668985,11202,Existing__Omni,_Omni,32478846.707363,169612,0.1096483,6.604485e-002,317.912064514359
2018,R,46557260.6450495,271674,2,4,36798297.2423967,208039,1,0.790387938047843,0.765767059048713,31694117.28799,181412,Existing_1,1,35421300.734948,193424,0.8947756,0.9378981,174.707942627775
2018,R,46557260.6450495,271674,2,4,36798297.2423967,208039,1,0.790387938047843,0.765767059048713,3727183.44695798,12012,Existing__Omni,_Omni,35421300.734948,193424,0.1052244,6.210191e-002,310.288332247584
2018,R,41059074.6706537,269321,2,5,32684655.0224225,208156,1,0.796039737490317,0.77289182796737,27296333.5317503,176433,Existing_1,1,31590292.5099932,191730,0.8640735,0.9202159,154.712177040295
2018,R,41059074.6706537,269321,2,5,32684655.0224225,208156,1,0.796039737490317,0.77289182796737,4293958.97824286,15297,Existing__Omni,_Omni,31590292.5099932,191730,0.1359265,7.978407e-002,280.70595399378
2018,R,27508762.9410479,220127,2,6,22558277.5297783,173115,1,0.820039693465002,0.786432377672889,19182163.0056025,148972,Existing_1,1,21631799.2506565,159641,0.8867576,0.9331688,128.763546207358
2018,R,27508762.9410479,220127,2,6,22558277.5297783,173115,1,0.820039693465002,0.786432377672889,2449636.24505398,10669,Existing__Omni,_Omni,21631799.2506565,159641,0.1132424,6.68312e-002,229.603172279874
2018,R,26922721.7963525,198775,3,7,22287540.2800601,157999,1,0.827833844165028,0.794863539177462,19277709.9886315,137999,Existing_1,1,21483539.6242702,147009,0.8973247,0.9387112,139.694562921698
2018,R,26922721.7963525,198775,3,7,22287540.2800601,157999,1,0.827833844165028,0.794863539177462,2205829.63563878,9010,Existing__Omni,_Omni,21483539.6242702,147009,0.1026753,6.128876e-002,244.820159338377
2018,R,47006425.9501142,258105,3,8,39103738.3336712,205564,1,0.831880695953575,0.796435559171655,32970414.3524002,176966,Existing_1,1,37260808.4590923,188761,0.884855,0.9375136,186.309315644814
2018,R,47006425.9501142,258105,3,8,39103738.3336712,205564,1,0.831880695953575,0.796435559171655,4290394.10669202,11795,Existing__Omni,_Omni,37260808.4590923,188761,0.115145,6.248643e-002,363.746850927683
2018,R,38078495.689839,211722,3,9,31259171.8383045,169199,1,0.820914042742654,0.799156440993378,27450044.1950839,150709,Existing_1,1,30331812.1650287,159090,0.9049919,0.9473191,182.139382486009
2018,R,38078495.689839,211722,3,9,31259171.8383045,169199,1,0.820914042742654,0.799156440993378,2881767.96994479,8381,Existing__Omni,_Omni,30331812.1650287,159090,9.500811e-002,5.268087e-002,343.845360928862
2018,R,38765703.2723884,246102,4,10,32073700.4115329,193503,1,0.827373108290234,0.786271545944365,26328795.5100166,162370,Existing_1,1,31211512.9197558,178481,0.8435604,0.9097327,162.153079448276
2018,R,38765703.2723884,246102,4,10,32073700.4115329,193503,1,0.827373108290234,0.786271545944365,4882717.40973921,16111,Existing__Omni,_Omni,31211512.9197558,178481,0.1564396,9.026731e-002,303.067308654907
2018,R,40816612.682969,309523,4,11,32116316.4097701,229066,1,0.786844235684722,0.740061320160376,27159826.2861782,196314,Existing_1,1,30649486.0609624,210111,0.886143,0.9343347,138.34890168902
2018,R,40816612.682969,309523,4,11,32116316.4097701,229066,1,0.786844235684722,0.740061320160376,3489659.77478417,13797,Existing__Omni,_Omni,30649486.0609624,210111,0.113857,6.566529e-002,252.928881262896
2018,R,21565467.4703316,172552,4,12,18124570.1072267,139595,1,0.840444109647118,0.80900250359312,15704163.7624326,121663,Existing_1,1,17302228.0293271,128734,0.9076383,0.9450728,129.07920865368
2018,R,21565467.4703316,172552,4,12,18124570.1072267,139595,1,0.840444109647118,0.80900250359312,1598064.26689448,7071,Existing__Omni,_Omni,17302228.0293271,128734,9.236176e-002,5.492721e-002,226.002583353766
2018,D,13975449.0619727,130751,1,1,1183313.64575911,12971,2,8.46708853870684e-002,9.92038301810311e-002,1135111.91559815,12172,React_1,1,1220618.69596086,12606,0.929948,0.9655719,93.255990436917
